FileName,DigitLabel,Left,Top,Width,Height
45.png,1,35,3,8,31
45.png,10,44,4,12,31
46.png,3,136,87,49,104
46.png,2,201,44,41,104
46.png,7,257,18,53,104
47.png,2,14,2,6,15
47.png,4,20,1,5,15
48.png,4,74,20,28,50
48.png,6,103,17,29,50
49.png,8,65,18,36,45
49.png,1,102,15,26,45
49.png,7,132,16,28,45
50.png,1,58,27,11,26
50.png,10,74,22,15,26
50.png,3,95,17,15,26
51.png,9,47,7,16,45
51.png,1,66,9,9,45
52.png,3,45,12,23,38
52.png,5,74,11,28,38
53.png,9,160,34,59,84
53.png,3,208,18,52,84
54.png,1,36,10,18,45
54.png,1,56,8,21,45
55.png,1,116,27,15,35
55.png,1,128,29,10,35
55.png,3,137,29,17,35
55.png,7,151,26,17,35
56.png,5,22,4,9,20
56.png,6,35,3,9,20
57.png,2,63,38,16,25
57.png,1,74,26,15,25
57.png,5,83,12,19,25
58.png,1,45,6,19,46
58.png,1,65,2,17,46
59.png,2,35,3,19,42
60.png,4,16,1,9,20
60.png,7,25,1,7,20
61.png,5,33,6,9,19
62.png,3,45,6,24,46
62.png,2,61,8,25,46
63.png,4,96,23,40,63
63.png,3,132,27,37,63
64.png,2,26,4,8,26
64.png,9,37,3,16,26
65.png,5,25,6,11,21
65.png,8,36,7,12,21
66.png,9,38,6,11,30
66.png,5,46,6,14,30
67.png,1,48,5,12,47
67.png,10,59,4,22,47
68.png,5,71,19,14,35
68.png,4,88,19,13,35
68.png,2,102,14,20,35
69.png,4,54,12,15,46
69.png,4,67,16,14,46
70.png,3,20,5,11,16
70.png,1,30,5,7,16
71.png,2,24,4,11,22
71.png,3,36,4,10,22
71.png,8,48,3,9,22
71.png,6,58,3,10,22
72.png,1,26,6,7,17
72.png,5,34,5,11,17
73.png,3,18,3,5,14
74.png,3,28,4,10,26
74.png,3,40,6,12,26
75.png,1,34,10,7,29
75.png,8,40,9,11,29
76.png,9,22,2,6,18
76.png,8,29,2,6,18
77.png,7,53,5,30,60
77.png,3,84,4,24,60
77.png,9,106,6,24,60
78.png,1,78,14,9,22
78.png,3,86,14,8,22
78.png,8,93,12,11,22
79.png,1,40,41,22,51
79.png,9,64,33,30,51
79.png,2,99,17,35,51
79.png,2,138,11,31,51
80.png,2,38,11,12,19
80.png,2,54,8,16,19
81.png,7,49,8,14,31
81.png,4,64,7,17,31
82.png,4,35,8,19,30
82.png,5,54,6,18,30
83.png,6,36,6,16,29
83.png,10,53,15,12,29
84.png,3,34,6,20,32
85.png,1,17,7,6,15
85.png,7,23,6,7,15
86.png,3,26,4,7,20
86.png,5,33,5,9,20
87.png,1,67,16,14,35
87.png,7,81,17,24,35
88.png,5,47,13,27,36
89.png,1,85,23,26,64
89.png,8,110,19,33,64
90.png,1,37,6,6,30
90.png,6,46,7,13,30
90.png,4,61,10,13,30
91.png,1,49,18,9,26
91.png,9,59,17,11,26
91.png,3,68,13,11,26
92.png,3,35,6,19,35
92.png,5,56,8,14,35
93.png,1,40,11,12,32
93.png,7,51,7,19,32
94.png,1,54,18,12,34
94.png,2,67,12,19,34
95.png,1,127,58,10,26
95.png,10,136,60,9,26
95.png,4,148,60,11,26
95.png,4,157,59,10,26
96.png,1,33,6,23,39
96.png,8,56,5,32,39
97.png,3,34,8,16,32
97.png,6,48,6,14,32
98.png,1,50,7,15,37
98.png,2,66,7,21,37
98.png,10,85,11,27,37
99.png,2,30,4,17,29
100.png,1,18,1,5,22
100.png,10,23,0,9,22
100.png,9,32,0,10,22
101.png,5,27,7,13,27
101.png,3,42,5,12,27
102.png,3,58,14,18,51
102.png,5,77,9,16,51
103.png,7,54,2,20,28
104.png,1,67,18,29,69
104.png,10,99,20,21,69
104.png,4,122,12,26,69
105.png,1,83,13,44,100
105.png,4,128,10,69,100
106.png,1,37,12,10,17
106.png,4,49,12,11,17
107.png,5,49,16,14,29
107.png,2,64,13,16,29
108.png,2,28,3,14,27
109.png,3,38,11,18,28
109.png,10,57,10,14,28
110.png,6,16,1,10,18
110.png,3,27,1,11,18
111.png,9,23,8,11,20
112.png,1,31,2,14,37
112.png,8,44,1,21,37
112.png,7,63,6,19,37
113.png,1,19,1,8,21
113.png,3,27,3,12,21
114.png,1,29,6,7,28
114.png,9,37,4,10,28
115.png,3,26,1,9,26
115.png,2,38,1,13,26
116.png,5,27,12,8,14
116.png,1,34,12,6,14
116.png,3,40,11,9,14
117.png,4,145,8,79,145
117.png,8,224,13,87,145
118.png,3,13,2,9,15
118.png,4,22,2,9,15
118.png,2,31,1,9,15
118.png,1,40,1,7,15
119.png,3,91,55,27,48
119.png,2,113,44,29,48
119.png,3,135,33,39,48
120.png,5,65,20,24,40
120.png,1,84,20,17,40
121.png,1,32,8,6,21
121.png,3,43,8,13,21
121.png,5,63,7,11,21
121.png,8,79,7,13,21
122.png,1,21,2,4,23
122.png,7,26,1,5,23
123.png,6,25,5,10,22
124.png,5,19,1,10,23
125.png,6,18,3,6,17
125.png,4,23,3,10,17
126.png,1,56,14,15,52
126.png,10,72,12,22,52
126.png,8,97,8,21,52
127.png,8,32,15,16,36
128.png,1,56,16,9,45
128.png,3,65,22,11,45
129.png,6,21,5,8,17
129.png,8,29,5,9,17
130.png,4,26,4,17,21
131.png,1,24,6,8,18
131.png,7,32,5,11,18
131.png,4,44,5,11,18
132.png,9,78,20,43,67
132.png,8,122,8,36,67
133.png,4,91,13,43,99
133.png,4,132,14,44,99
134.png,9,16,2,9,14
135.png,6,26,2,13,28
135.png,8,41,3,12,28
136.png,2,52,10,15,37
137.png,1,50,10,14,43
137.png,10,70,10,17,43
138.png,4,60,19,17,37
138.png,6,81,15,20,37
139.png,2,21,1,13,23
139.png,8,35,2,13,23
140.png,9,18,1,12,18
141.png,3,25,4,9,24
141.png,9,35,2,8,24
142.png,4,92,7,65,87
143.png,4,51,13,17,24
143.png,1,67,14,14,24
144.png,1,27,3,8,28
144.png,9,36,3,14,28
144.png,5,51,3,11,28
145.png,3,93,18,38,93
145.png,3,120,23,38,93
146.png,2,23,4,7,13
146.png,5,29,5,9,13
146.png,1,37,7,6,13
146.png,8,43,6,9,13
147.png,1,28,3,6,24
147.png,5,34,3,14,24
148.png,3,140,43,16,30
148.png,10,161,43,19,30
148.png,10,183,42,19,30
149.png,4,19,3,8,17
149.png,7,26,3,9,17
150.png,2,136,36,19,27
150.png,8,156,36,12,27
150.png,6,167,35,18,27
151.png,3,25,4,14,21
151.png,3,40,4,15,21
152.png,2,52,8,15,37
152.png,10,66,10,12,37
152.png,7,76,9,11,37
153.png,1,30,7,6,28
153.png,9,36,7,9,28
154.png,2,18,3,14,20
155.png,7,68,13,22,44
156.png,6,35,9,16,28
157.png,5,37,7,26,37
157.png,7,65,7,23,37
158.png,2,113,34,53,81
159.png,9,28,11,23,29
159.png,1,51,6,14,29
160.png,2,49,9,8,27
160.png,10,59,11,8,27
160.png,8,70,11,13,27
161.png,8,91,26,33,63
161.png,5,118,25,33,63
162.png,3,32,1,21,36
163.png,5,148,49,25,36
163.png,6,167,46,22,36
163.png,10,184,46,25,36
164.png,5,57,10,24,57
165.png,1,45,12,14,40
165.png,7,58,13,20,40
165.png,6,78,14,23,40
166.png,7,40,18,24,27
166.png,5,55,11,21,27
166.png,4,72,7,21,27
167.png,1,30,8,5,15
167.png,5,35,8,11,15
168.png,2,30,8,7,24
168.png,8,36,9,6,24
168.png,2,42,8,8,24
169.png,4,26,3,21,33
169.png,2,43,3,18,33
170.png,7,30,4,12,28
170.png,6,41,8,16,28
171.png,4,53,16,32,40
171.png,1,80,14,14,40
171.png,9,96,13,24,40
172.png,2,31,6,9,25
172.png,1,45,7,4,25
173.png,1,17,5,6,16
173.png,1,25,4,5,16
174.png,5,31,6,12,25
174.png,9,42,4,16,25
175.png,5,28,8,11,28
175.png,6,40,8,13,28
175.png,8,54,8,13,28
176.png,5,82,15,33,50
177.png,1,125,45,22,50
177.png,5,148,49,25,50
177.png,8,169,51,23,50
178.png,2,31,5,11,26
178.png,1,42,5,6,26
179.png,2,33,4,9,28
179.png,5,43,1,10,28
180.png,1,16,5,6,17
180.png,7,23,5,7,17
180.png,4,31,4,10,17
180.png,2,40,4,10,17
181.png,3,45,6,17,39
181.png,7,63,10,19,39
182.png,3,29,1,28,41
182.png,4,55,2,22,41
183.png,2,22,2,12,23
183.png,1,32,3,8,23
184.png,2,53,28,24,33
184.png,8,77,29,21,33
184.png,10,96,34,23,33
184.png,10,116,32,22,33
185.png,2,10,2,5,11
185.png,5,17,1,5,11
185.png,6,23,1,5,11
186.png,1,34,8,13,49
186.png,3,49,9,22,49
186.png,10,71,10,30,49
187.png,1,20,2,12,25
187.png,9,32,1,17,25
188.png,4,38,11,16,32
188.png,5,55,12,17,32
189.png,9,35,4,20,31
190.png,2,15,3,6,12
190.png,6,22,3,6,12
191.png,1,26,7,8,20
191.png,5,35,7,11,20
191.png,9,46,5,11,20
192.png,3,22,2,12,22
193.png,1,123,24,23,85
194.png,4,47,14,7,19
194.png,3,56,13,11,19
195.png,1,15,3,5,13
195.png,2,20,4,7,13
196.png,1,45,10,25,51
197.png,3,23,4,8,23
197.png,1,31,5,5,23
197.png,6,37,6,8,23
198.png,2,29,8,22,32
198.png,9,49,9,22,32
198.png,7,68,9,17,32
199.png,2,145,41,77,149
199.png,10,206,34,68,149
200.png,3,97,4,20,32
200.png,1,113,7,16,32
200.png,8,126,10,18,32
201.png,2,31,3,21,38
201.png,3,52,4,17,38
202.png,1,148,70,18,35
202.png,10,165,69,23,35
202.png,5,179,56,23,35
203.png,2,69,30,20,39
203.png,4,86,22,16,39
203.png,1,97,9,20,39
204.png,4,32,4,12,22
205.png,4,28,7,12,24
205.png,9,37,8,9,24
206.png,4,223,96,15,30
206.png,9,238,91,15,30
207.png,1,118,35,40,79
207.png,1,148,34,40,79
207.png,1,180,34,43,79
208.png,9,24,3,10,18
209.png,1,42,9,9,35
209.png,8,53,2,16,35
209.png,8,72,11,16,35
210.png,2,46,8,20,39
210.png,6,68,10,21,39
211.png,2,19,2,10,18
211.png,7,35,2,8,18
212.png,2,43,13,11,29
212.png,9,55,13,7,29
213.png,1,59,4,19,52
214.png,8,32,3,13,24
215.png,3,43,7,23,31
215.png,10,66,9,22,31
215.png,2,89,10,25,31
216.png,2,63,13,27,35
216.png,8,91,23,28,35
216.png,10,119,34,25,35
217.png,2,50,12,23,37
218.png,1,21,4,6,19
218.png,8,27,2,9,19
219.png,3,82,52,48,66
219.png,2,115,35,37,66
219.png,8,137,19,33,66
220.png,5,47,4,27,55
220.png,1,72,5,24,55
221.png,1,25,4,8,25
221.png,5,34,5,12,25
221.png,7,46,6,11,25
222.png,2,23,4,9,19
223.png,1,23,4,9,20
223.png,9,33,4,8,20
223.png,10,41,3,10,20
224.png,6,48,14,18,41
224.png,8,66,15,20,41
225.png,2,41,10,10,22
226.png,1,23,6,5,22
226.png,3,28,5,11,22
226.png,6,39,4,11,22
227.png,1,22,5,5,16
228.png,1,59,13,16,32
228.png,1,73,13,8,32
228.png,1,80,12,11,32
229.png,7,19,5,9,15
229.png,2,27,5,9,15
230.png,3,44,5,23,42
231.png,1,38,12,6,27
231.png,4,45,12,9,27
231.png,4,56,11,9,27
232.png,1,30,8,6,24
232.png,10,36,8,9,24
233.png,1,35,11,18,31
233.png,3,56,10,15,31
233.png,5,75,11,13,31
233.png,8,92,9,15,31
234.png,8,44,12,11,20
234.png,4,52,10,12,20
235.png,2,39,9,16,33
235.png,1,56,11,9,33
235.png,10,65,11,13,33
236.png,1,63,19,13,40
236.png,1,75,18,11,40
236.png,4,83,18,21,40
237.png,1,142,50,12,26
237.png,9,152,48,11,26
237.png,3,159,45,13,26
238.png,7,30,8,17,22
238.png,7,47,8,17,22
239.png,1,22,2,8,20
239.png,4,31,3,6,20
239.png,10,39,2,12,20
240.png,3,127,41,20,39
240.png,9,140,41,26,39
241.png,1,15,3,4,14
241.png,5,21,4,7,14
242.png,1,23,6,14,23
242.png,5,37,5,13,23
243.png,2,28,7,6,13
243.png,3,35,6,8,13
243.png,6,42,6,8,13
243.png,3,52,7,8,13
244.png,1,34,11,6,27
244.png,5,42,8,12,27
245.png,3,29,8,14,22
245.png,8,42,9,13,22
246.png,5,63,16,23,40
246.png,1,86,20,16,40
247.png,2,13,1,11,16
248.png,7,23,4,16,22
249.png,1,30,5,10,27
249.png,10,38,4,11,27
250.png,7,24,3,8,20
250.png,8,32,5,9,20
251.png,7,70,7,37,82
251.png,6,106,9,36,82
252.png,3,-1,26,16,34
252.png,7,12,17,24,34
252.png,10,34,6,29,34
253.png,1,35,12,13,33
253.png,9,46,7,12,33
254.png,3,30,5,18,32
254.png,5,47,4,18,32
255.png,9,55,8,34,55
255.png,3,82,8,37,55
256.png,2,31,2,20,33
256.png,8,50,3,18,33
257.png,1,80,30,17,41
257.png,1,103,35,15,41
258.png,5,45,1,34,60
258.png,6,78,3,33,60
259.png,5,51,14,19,30
260.png,3,2,2,13,20
260.png,6,18,2,17,20
261.png,1,15,1,4,16
261.png,4,18,1,6,16
262.png,2,61,23,18,44
262.png,4,78,25,23,44
262.png,1,59,26,20,46
263.png,7,46,14,15,38
263.png,1,62,14,10,38
264.png,2,27,5,16,28
264.png,1,44,6,11,28
264.png,9,57,3,12,28
264.png,10,67,5,16,28
265.png,7,46,10,25,45
265.png,6,70,7,25,45
266.png,5,125,27,54,89
266.png,10,173,26,50,89
267.png,2,3,9,20,54
267.png,1,33,11,18,54
268.png,6,34,12,8,24
269.png,3,33,7,16,32
269.png,5,52,5,17,32
269.png,3,68,6,20,32
270.png,2,25,3,12,30
270.png,5,37,2,10,30
270.png,5,51,1,13,30
271.png,1,18,1,8,24
271.png,9,26,1,11,24
272.png,4,44,7,11,35
272.png,6,57,6,8,35
272.png,4,69,4,15,35
273.png,9,31,8,18,27
274.png,1,28,3,9,28
274.png,6,36,3,13,28
274.png,6,47,4,13,28
275.png,2,27,4,16,22
275.png,5,41,4,20,22
276.png,1,26,11,9,17
276.png,7,35,13,7,17
276.png,8,42,10,13,17
277.png,5,29,6,6,17
277.png,7,33,6,7,17
278.png,1,84,24,14,23
278.png,4,95,31,15,23
279.png,1,34,5,10,34
279.png,1,44,5,10,34
280.png,1,23,5,10,16
281.png,2,22,2,9,24
281.png,9,31,1,10,24
282.png,3,21,3,11,18
282.png,7,32,3,10,18
283.png,1,142,53,9,27
283.png,1,148,49,9,27
283.png,3,155,49,12,27
284.png,1,21,7,5,12
284.png,1,27,6,6,12
285.png,6,45,11,11,32
285.png,1,57,12,7,32
286.png,1,57,14,14,38
286.png,3,72,15,20,38
287.png,4,41,8,17,36
287.png,1,60,10,10,36
288.png,2,90,25,20,36
288.png,9,109,25,25,36
288.png,2,131,24,20,36
289.png,1,49,16,9,30
289.png,1,56,17,8,30
290.png,1,74,18,15,46
290.png,1,93,17,16,46
291.png,6,19,5,9,16
291.png,10,28,6,8,16
291.png,8,36,6,7,16
292.png,4,48,4,30,56
293.png,7,28,4,7,26
293.png,4,36,2,10,26
294.png,1,52,4,10,46
294.png,10,69,4,21,46
294.png,4,94,2,16,46
295.png,1,19,1,11,22
295.png,1,32,2,11,22
296.png,3,46,15,12,19
296.png,3,58,15,12,19
297.png,6,78,19,33,55
297.png,10,111,20,41,55
298.png,1,27,6,5,13
298.png,5,32,5,8,13
298.png,1,39,5,7,13
299.png,7,26,6,9,15
299.png,9,37,6,7,15
300.png,9,85,24,33,55
301.png,6,16,1,9,17
302.png,5,32,8,11,31
302.png,10,43,6,14,31
303.png,2,25,4,15,22
303.png,3,36,4,13,22
304.png,1,25,5,13,28
304.png,7,35,5,16,28
305.png,1,24,7,4,15
305.png,5,30,7,5,15
305.png,3,36,6,8,15
306.png,8,44,13,18,36
306.png,7,62,8,16,36
307.png,2,85,9,50,89
307.png,3,135,14,49,89
308.png,2,56,19,17,29
308.png,1,74,17,14,29
308.png,8,88,13,17,29
309.png,1,45,18,11,22
309.png,2,53,17,10,22
309.png,4,60,16,11,22
310.png,6,19,4,13,20
310.png,8,32,3,12,20
311.png,1,35,4,15,43
311.png,3,49,1,27,43
312.png,1,24,7,11,25
312.png,2,36,7,15,25
313.png,1,11,3,7,14
313.png,4,19,2,5,14
314.png,4,35,4,16,32
314.png,8,50,2,15,32
315.png,4,17,1,7,17
315.png,2,24,1,6,17
315.png,1,31,1,4,17
316.png,2,52,12,27,48
316.png,5,79,9,31,48
317.png,4,15,1,6,17
317.png,4,20,1,7,17
318.png,1,19,1,8,26
318.png,7,29,1,12,26
318.png,1,41,3,9,26
319.png,6,92,21,41,55
319.png,8,131,35,38,55
320.png,7,35,9,21,38
320.png,3,54,7,17,38
321.png,4,157,34,16,18
321.png,10,172,34,16,18
321.png,5,189,31,14,18
322.png,3,26,5,12,27
322.png,1,37,4,9,27
323.png,4,59,10,31,57
323.png,1,85,9,23,57
324.png,2,40,5,22,39
324.png,6,65,7,25,39
324.png,6,87,6,26,39
325.png,4,62,34,15,26
325.png,5,76,28,12,26
325.png,10,87,31,17,26
326.png,3,52,8,39,61
326.png,10,92,3,40,61
327.png,1,66,20,10,26
327.png,6,73,19,11,26
327.png,6,79,18,12,26
328.png,7,48,11,11,42
328.png,7,58,10,16,42
329.png,1,17,4,5,14
329.png,1,21,4,6,14
329.png,4,27,4,10,14
330.png,1,58,9,14,48
330.png,1,72,10,19,48
331.png,2,37,9,26,38
331.png,3,64,9,24,38
332.png,1,28,2,8,23
333.png,1,36,20,9,27
333.png,4,46,18,12,27
333.png,8,60,11,13,27
334.png,1,38,12,8,19
334.png,6,44,12,8,19
334.png,4,52,11,8,19
334.png,8,59,11,8,19
335.png,1,41,11,19,39
335.png,5,57,9,21,39
336.png,5,36,4,15,24
336.png,4,52,4,10,24
337.png,1,159,62,30,68
337.png,1,192,67,18,68
337.png,10,209,67,54,68
338.png,5,53,15,25,41
338.png,5,76,13,22,41
338.png,3,97,10,22,41
339.png,8,66,15,34,59
339.png,2,105,15,27,59
340.png,4,27,5,9,30
340.png,3,37,5,14,30
341.png,2,100,55,30,44
341.png,8,135,35,39,44
341.png,9,173,31,39,44
342.png,1,47,6,24,65
342.png,8,87,6,36,65
343.png,2,56,8,27,48
344.png,9,41,6,26,41
344.png,9,99,5,26,41
345.png,4,44,9,13,34
346.png,4,19,5,7,12
346.png,8,26,5,8,12
347.png,5,79,28,22,39
347.png,10,100,19,20,39
348.png,8,29,1,25,39
349.png,2,21,5,5,11
350.png,3,28,2,18,34
350.png,2,47,1,15,34
351.png,4,34,11,16,28
352.png,4,50,19,14,27
353.png,2,51,34,11,23
353.png,7,60,36,9,23
353.png,4,66,37,12,23
353.png,4,76,36,9,23
354.png,1,40,6,10,42
354.png,3,51,2,17,42
354.png,8,68,4,19,42
355.png,7,13,2,8,14
355.png,4,22,2,9,14
355.png,10,31,1,8,14
356.png,2,39,7,19,25
357.png,5,49,10,25,55
357.png,3,76,11,45,55
358.png,2,27,6,8,21
358.png,8,36,6,8,21
359.png,1,22,3,5,19
360.png,5,29,6,9,22
360.png,8,38,6,8,22
361.png,1,43,13,10,29
361.png,7,53,12,16,29
362.png,3,33,7,10,23
362.png,4,52,10,13,23
363.png,8,103,30,20,34
363.png,3,121,32,19,34
363.png,10,139,34,15,34
364.png,6,29,6,17,26
365.png,8,67,11,21,68
365.png,3,88,11,21,68
366.png,4,62,7,38,74
367.png,1,43,10,15,44
367.png,5,56,9,22,44
368.png,5,19,1,11,17
368.png,6,30,2,10,17
369.png,1,36,3,16,45
369.png,6,54,4,23,45
370.png,1,37,5,19,49
370.png,1,51,6,21,49
371.png,8,35,1,12,36
372.png,1,19,1,8,26
372.png,5,27,1,10,26
373.png,3,45,11,25,44
373.png,8,72,8,22,44
374.png,9,29,7,8,17
374.png,6,36,8,8,17
375.png,3,113,53,34,65
375.png,1,143,39,22,65
375.png,5,163,23,36,65
376.png,5,73,27,14,25
376.png,1,81,24,11,25
377.png,4,43,4,38,54
378.png,7,39,9,24,41
379.png,3,125,27,42,92
379.png,10,161,40,43,92
380.png,2,8,1,5,12
380.png,9,13,1,7,12
381.png,1,65,23,8,22
381.png,9,72,23,11,22
381.png,1,85,24,9,22
382.png,6,29,7,7,19
382.png,5,35,6,7,19
382.png,8,42,7,8,19
383.png,7,43,4,21,46
383.png,2,63,6,20,46
384.png,3,66,29,17,23
384.png,5,78,24,19,23
384.png,5,88,19,19,23
385.png,2,61,14,23,42
385.png,6,83,17,21,42
385.png,1,104,17,13,42
386.png,4,51,5,22,55
386.png,2,73,7,20,55
387.png,9,86,51,28,50
387.png,9,122,36,34,50
387.png,5,158,17,33,50
388.png,3,46,2,10,34
388.png,2,56,3,11,34
389.png,4,55,1,43,66
390.png,5,30,5,12,30
390.png,10,42,4,14,30
391.png,2,19,2,8,18
391.png,1,27,3,7,18
392.png,5,39,7,21,44
392.png,9,60,6,21,44
393.png,8,69,21,18,39
393.png,10,94,18,18,39
393.png,10,118,15,18,39
394.png,8,55,10,16,34
395.png,1,98,28,37,66
395.png,2,174,30,47,66
395.png,9,252,22,49,66
396.png,1,24,5,5,20
396.png,7,32,5,8,20
396.png,9,42,5,9,20
396.png,8,54,4,9,20
397.png,1,44,13,11,30
397.png,10,55,11,20,30
397.png,4,75,8,17,30
398.png,5,32,4,23,32
398.png,4,57,4,25,32
399.png,6,82,24,61,84
399.png,2,141,15,52,84
400.png,2,14,1,11,19
400.png,3,25,1,11,19
401.png,1,13,1,10,16
401.png,1,21,1,6,16
401.png,6,29,1,8,16
402.png,4,54,9,30,54
403.png,1,20,3,10,26
403.png,6,30,3,10,26
403.png,5,39,2,11,26
404.png,3,144,36,37,86
404.png,9,183,29,26,86
404.png,8,214,24,22,86
405.png,5,208,77,29,61
405.png,5,237,74,23,61
406.png,2,47,16,18,34
406.png,7,65,9,14,34
406.png,10,79,8,12,34
407.png,2,15,1,7,18
407.png,7,22,1,6,18
408.png,1,216,45,15,30
408.png,7,229,48,15,30
409.png,9,21,2,12,25
409.png,3,36,4,14,25
410.png,6,92,38,39,66
410.png,5,129,21,42,66
411.png,2,286,64,176,293
411.png,6,489,69,155,293
412.png,1,64,44,17,30
412.png,2,75,32,23,30
412.png,3,89,24,22,30
412.png,5,105,13,25,30
413.png,1,20,2,12,24
413.png,3,29,3,15,24
414.png,1,21,4,6,20
414.png,6,27,4,9,20
415.png,1,42,11,8,20
415.png,2,49,10,15,20
415.png,7,63,11,13,20
416.png,5,66,10,23,54
416.png,2,87,5,37,54
417.png,2,116,34,39,75
417.png,8,149,36,44,75
418.png,5,42,6,15,33
418.png,6,59,6,13,33
419.png,1,40,4,8,34
419.png,2,51,3,13,34
420.png,1,27,3,9,22
420.png,5,37,4,13,22
420.png,7,52,4,14,22
420.png,9,67,4,16,22
421.png,2,7,1,10,20
421.png,6,21,2,10,20
421.png,4,32,2,8,20
422.png,9,22,3,8,20
422.png,10,32,3,9,20
423.png,4,27,7,12,24
423.png,4,41,8,13,24
424.png,9,72,12,27,43
425.png,1,92,22,21,77
425.png,7,109,22,40,77
426.png,4,27,6,9,24
426.png,1,36,5,8,24
427.png,3,49,6,37,59
427.png,5,82,7,35,59
428.png,3,73,19,31,58
429.png,3,56,10,13,34
429.png,3,70,13,18,34
429.png,10,90,13,15,34
430.png,4,178,41,196,138
431.png,1,51,9,27,53
432.png,9,20,6,8,13
432.png,3,28,6,7,13
433.png,1,35,8,9,28
433.png,2,44,4,16,28
434.png,10,59,9,16,29
435.png,1,25,7,7,22
435.png,2,32,6,10,22
435.png,1,43,5,8,22
436.png,6,46,7,28,51
436.png,3,75,4,31,51
437.png,3,24,4,7,24
437.png,7,31,2,9,24
438.png,5,34,5,14,30
438.png,8,47,9,15,30
439.png,6,54,15,21,40
439.png,7,77,14,22,40
440.png,1,54,10,16,50
440.png,7,71,12,24,50
441.png,1,40,25,12,24
441.png,9,51,20,15,24
441.png,2,62,10,18,24
442.png,1,39,9,9,35
443.png,7,16,3,5,15
443.png,8,20,2,8,15
444.png,2,55,8,29,48
444.png,2,78,9,31,48
445.png,1,32,4,15,34
445.png,10,46,6,24,34
446.png,2,22,1,17,31
446.png,1,38,3,13,31
446.png,3,51,1,17,31
447.png,6,46,9,25,46
448.png,5,104,38,20,45
448.png,3,124,44,19,45
449.png,3,32,6,12,33
449.png,10,48,3,14,33
450.png,4,98,54,28,48
450.png,4,116,38,37,48
450.png,3,133,28,43,48
451.png,6,40,5,12,29
451.png,4,53,6,13,29
452.png,4,29,8,8,16
452.png,4,37,10,8,16
452.png,5,43,8,9,16
453.png,5,59,11,28,47
453.png,2,88,13,28,47
454.png,1,88,29,10,38
454.png,5,98,28,19,38
454.png,6,118,30,18,38
455.png,5,29,1,16,36
455.png,3,47,2,10,36
456.png,2,43,7,17,46
456.png,3,59,5,17,46
457.png,8,100,54,37,62
457.png,6,123,46,41,62
457.png,10,147,31,45,62
458.png,1,25,5,5,19
458.png,10,30,3,6,19
458.png,10,38,3,9,19
459.png,5,43,7,25,47
459.png,6,67,5,28,47
459.png,10,93,7,30,47
460.png,1,31,5,15,35
461.png,5,52,10,33,64
